timestamp,num,band1_path,band3_path,hms_path,is_empty_bin,is_empty_den,hms_sum,exists
2018-07-24 20:30:00,130,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/band1/2018-07-24/2018-07-24-2030_0130.png,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/band3/2018-07-24/2018-07-24-2030_0130.png,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/hms/2018-07-24/2018-07-24-2030_0130.png,True,True,2239956,True
2018-07-23 12:00:00,81,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/band1/2018-07-23/2018-07-23-1200_0081.png,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/band3/2018-07-23/2018-07-23-1200_0081.png,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/hms/2018-07-23/2018-07-23-1200_0081.png,True,True,5466245,True
2018-09-09 18:00:00,129,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/band1/2018-09-09/2018-09-09-1800_0129.png,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/band3/2018-09-09/2018-09-09-1800_0129.png,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/hms/2018-09-09/2018-09-09-1800_0129.png,True,True,41126,True
2018-07-25 20:30:00,106,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/band1/2018-07-25/2018-07-25-2030_0106.png,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/band3/2018-07-25/2018-07-25-2030_0106.png,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/hms/2018-07-25/2018-07-25-2030_0106.png,True,True,5196635,True
2018-08-23 14:00:00,86,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/band1/2018-08-23/2018-08-23-1400_0086.png,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/band3/2018-08-23/2018-08-23-1400_0086.png,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/hms/2018-08-23/2018-08-23-1400_0086.png,True,True,3217244,True
2018-08-08 22:00:00,105,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/band1/2018-08-08/2018-08-08-2200_0105.png,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/band3/2018-08-08/2018-08-08-2200_0105.png,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/hms/2018-08-08/2018-08-08-2200_0105.png,True,True,6860297,True
2018-07-08 23:30:00,153,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/band1/2018-07-08/2018-07-08-2330_0153.png,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/band3/2018-07-08/2018-07-08-2330_0153.png,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/hms/2018-07-08/2018-07-08-2330_0153.png,True,True,1000734,True
2018-08-21 16:30:00,103,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/band1/2018-08-21/2018-08-21-1630_0103.png,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/band3/2018-08-21/2018-08-21-1630_0103.png,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/hms/2018-08-21/2018-08-21-1630_0103.png,True,True,14121,True
2018-08-18 22:00:00,130,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/band1/2018-08-18/2018-08-18-2200_0130.png,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/band3/2018-08-18/2018-08-18-2200_0130.png,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/hms/2018-08-18/2018-08-18-2200_0130.png,True,True,7061124,True
2018-08-12 00:30:00,105,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/band1/2018-08-12/2018-08-12-0030_0105.png,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/band3/2018-08-12/2018-08-12-0030_0105.png,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/hms/2018-08-12/2018-08-12-0030_0105.png,True,True,3874052,True
2018-07-15 00:30:00,152,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/band1/2018-07-15/2018-07-15-0030_0152.png,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/band3/2018-07-15/2018-07-15-0030_0152.png,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/hms/2018-07-15/2018-07-15-0030_0152.png,True,True,65866,True
2018-05-27 23:00:00,105,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/band1/2018-05-27/2018-05-27-2300_0105.png,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/band3/2018-05-27/2018-05-27-2300_0105.png,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/hms/2018-05-27/2018-05-27-2300_0105.png,True,True,2283836,True
2018-07-20 16:00:00,133,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/band1/2018-07-20/2018-07-20-1600_0133.png,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/band3/2018-07-20/2018-07-20-1600_0133.png,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/hms/2018-07-20/2018-07-20-1600_0133.png,True,True,1099159,True
2018-08-05 23:30:00,130,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/band1/2018-08-05/2018-08-05-2330_0130.png,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/band3/2018-08-05/2018-08-05-2330_0130.png,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/hms/2018-08-05/2018-08-05-2330_0130.png,True,True,5340515,True
2018-04-13 00:00:00,202,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/band1/2018-04-13/2018-04-13-0000_0202.png,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/band3/2018-04-13/2018-04-13-0000_0202.png,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/hms/2018-04-13/2018-04-13-0000_0202.png,True,True,59263,True
2018-09-09 20:30:00,152,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/band1/2018-09-09/2018-09-09-2030_0152.png,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/band3/2018-09-09/2018-09-09-2030_0152.png,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/hms/2018-09-09/2018-09-09-2030_0152.png,True,True,107117,True
2018-08-31 22:00:00,151,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/band1/2018-08-31/2018-08-31-2200_0151.png,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/band3/2018-08-31/2018-08-31-2200_0151.png,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/hms/2018-08-31/2018-08-31-2200_0151.png,True,True,32409,True
2018-05-28 23:30:00,105,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/band1/2018-05-28/2018-05-28-2330_0105.png,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/band3/2018-05-28/2018-05-28-2330_0105.png,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/hms/2018-05-28/2018-05-28-2330_0105.png,True,True,1453191,True
2018-07-24 23:00:00,131,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/band1/2018-07-24/2018-07-24-2300_0131.png,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/band3/2018-07-24/2018-07-24-2300_0131.png,/n/holyscratch01/mickley_lab/hms_vision_data/512x512/hms/2018-07-24/2018-07-24-2300_0131.png,True,True,4712308,True
